Anime Name,Song Name,Instr1,Vocal1,Ndrop1
Initial D,SPACE BOY,0:17-0:27,0:29-0:49,0:54-0:59
Initial D,NO ONE SLEEP IN TOKYO,0:31-0:41,0:43-1:03,1:11-1:16
Initial D,BE MY BABE,0:45-0:55,0:58-0:18,0:32-0:37
Initial D,DON'T STOP THE MUSIC,0:30-0:40,0:42-1:02,1:06-1:11
Initial D,DANCE AROUND THE WORLD,0:40-1:00,1:14-1:34,1:40-1:45
Initial D,GET ME POWER,0:12-0:22,0:24-0:34,0:09-0:14
Initial D,RUNNING IN THE '90S,0:12-0:32,0:36-0:56,1:00-1:05
Initial D,HEARTBEAT,0:25-0:45,1:01-1:11,1:14-1:19
Initial D,BACK ON THE ROCKS,0:25-0:35,0:39-0:59,1:02-1:07
Initial D,REMEMBER ME,0:28-0:38,0:40-1:00,1:05-1:10
Initial D,MY ONLY STAR,0:26-0:36,0:38-0:58,1:03-1:08
Initial D,BURNING UP FOR YOU,0:18-0:38,0:43-1:03,0:12-0:17
Initial D,LONELY LOVE,0:28-0:38,0:41-0:51,0:26-0:31
Initial D,NIGHT FEVER,0:25-0:35,0:38-0:58,1:15-1:20
Initial D,DANCING,0:30-0:40,0:42-1:02,1:05-1:10
Initial D,LOVE & MONEY,0:19-0:29,0:32-0:52,0:56-1:01
Initial D,DON'T STAND SO CLOSE,0:25-0:35,0:36-0:56,1:26-1:31
Initial D,DANCING QUEEN,0:17-0:27,0:49-0:54,0:29-0:34
Initial D,I NEED YOUR LOVE,0:30-0:40,0:42-1:02,0:26-0:31
Initial D,MAYBE TONITE,0:20-0:30,0:34-0:54,0:59-1:04
Initial D,LOVE IS IN DANGER,0:19-0:29,0:33-0:53,0:00-0:05
Initial D,LOST INTO THE NIGHT,0:39-0:49,0:50-1:10,1:15-1:20
Initial D,STAY,0:36-0:46,0:48-1:08,1:24-1:29
Initial D,WINGS OF FIRE,0:38-0:48,0:50-1:10,0:25-0:30
Initial D,EVERY BODY'S WARMING,0:27-0:37,0:40-1:00,1:03-1:08
Initial D,SATURDAY NIGHT FEVER,0:19-0:29,0:40-0:45,0:32-0:37
Initial D,NIGHT OF FIRE,0:41-0:51,0:53-1:13,1:18-1:23
Initial D,BOOM BOOM JAPAN,0:13-0:23,0:26-0:46,0:51-0:56
Initial D,BLACK OUT,0:23-0:33,1:00-1:20,1:24-1:29
Initial D,NIGHT & DAY,0:25-0:35,0:38-0:58,1:02-1:07
Initial D,BEAT OF THE RISING SUN,0:10-0:30,0:32-0:52,1:03-1:08
Initial D: Second Stage,BURNING DESIRE,0:28-0:38,0:40-0:50,0:59-1:04
Initial D: Second Stage,100,0:22-0:32,0:34-0:54,0:58-1:03
Initial D: Second Stage,MIKADO,0:12-0:22,0:25-0:45,0:48-0:53
Initial D: Second Stage,I LOVE YOU LIKE YOU ARE,0:47-0:57,0:22-0:32,0:34-0:39
Initial D: Second Stage,MAKE MY DAY,0:25-0:35,0:37-0:57,1:05-1:10
Initial D: Second Stage,TAKE MY SOUL,1:05-1:15,0:15-0:35,0:43-0:48
Initial D: Second Stage,EVER AND EVER,0:31-0:41,0:43-1:03,1:08-1:13
Initial D: Second Stage,SPEEDY SPEED BOY,1:32-1:42,0:43-1:03,1:07-1:12
Initial D: Second Stage,DON'T YOU (FORGET ABOUT MY LOVE),0:31-0:41,0:43-1:03,1:19-1:24
Initial D: Second Stage,GOODBYE YELLOW BRICK ROAD,0:20-0:30,0:32-0:52,0:57-1:02
Initial D: Second Stage,STATION TO STATION,0:20-0:30,0:32-0:52,0:56-1:01
Initial D: Second Stage,BIG IN JAPAN,0:41-0:51,0:53-1:03,1:10-1:15
Initial D: Second Stage,GIMME THE NIGHT,0:25-0:35,0:37-0:57,1:01-1:06
Initial D: Second Stage,MAKE UP YOUR MIND,0:26-0:36,0:38-0:58,1:03-1:08
Initial D: Second Stage,GRAND PRIX,0:24-0:34,0:36-0:56,1:00-1:05
Initial D: Second Stage,DEJA VU,0:26-0:36,0:39-0:59,1:03-1:08
Initial D: Third Stage,THE RACE IS OVER,0:25-0:35,0:37-0:57,1:02-1:07
Initial D: Third Stage,FLY TO ME & THE MOON & BLACK,0:21-0:31,0:34-0:54,0:59-1:04
Initial D: Third Stage,SPEED LOVER,0:24-0:34,0:37-0:57,1:01-1:06
Initial D: Third Stage,KISS ME GOODBYE,1:29-1:39,0:39-0:59,1:04-1:09
Initial D: Third Stage,CRAZY FOR LOVE,0:24-0:34,0:36-0:56,1:01-1:06
Initial D: Third Stage,IF YOU WANNA STAY,0:18-0:28,0:32-0:52,0:57-1:02
Initial D: Third Stage,MAX POWER,0:09-0:19,0:22-0:42,0:47-0:52
Initial D: Third Stage,STREET OF FIRE,0:18-0:28,0:30-0:50,0:54-0:59
Initial D: Fourth Stage,"LET'S GO, COME ON",1:49-1:59,0:38-0:58,1:04-1:09
Initial D: Fourth Stage,GO BEAT CRAZY,0:46-1:06,1:17-1:22,0:38-0:43
Initial D: Fourth Stage,WE'LL SEE HEAVEN,0:38-0:48,0:29-0:34,0:24-0:29
Initial D: Fourth Stage,THE FIRE'S ON ME,0:20-0:30,0:33-0:53,1:02-1:07
Initial D: Fourth Stage,SPEED CAR,0:46-0:56,0:59-1:19,1:23-1:28
Initial D: Fourth Stage,REVOLUTION,0:33-0:43,0:44-1:04,1:09-1:14
